epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.502,2.0189,8.62139,1.97277,0.15316,0.47039,0.16213,0.12558,1.83206,4.34319,1.9598,0.000205662,0.000205662,0.000205662
2,88.1189,1.89222,4.57467,1.93373,0.24434,0.69492,0.32176,0.24697,1.83184,3.23372,1.95793,0.000411946,0.000411946,0.000411946
3,106.196,1.88737,3.56715,1.93053,0.41447,0.71173,0.48308,0.37317,1.87346,2.73914,2.036,0.000616168,0.000616168,0.000616168
4,124.66,1.84503,3.02828,1.91166,0.50258,0.65453,0.60639,0.45236,1.92339,2.41565,2.03865,0.000615719,0.000615719,0.000615719
5,142.784,1.78215,2.75627,1.89486,0.49879,0.78254,0.68369,0.52612,1.79798,2.31746,1.99528,0.000612625,0.000612625,0.000612625
6,161.256,1.78107,2.50514,1.9211,0.60455,0.74156,0.73291,0.56883,1.72857,2.05714,1.9539,0.000609531,0.000609531,0.000609531
7,180.595,1.81231,2.31297,1.92049,0.76274,0.76565,0.83593,0.64686,1.77396,1.72791,1.98702,0.000606437,0.000606437,0.000606437
8,199.382,1.80141,2.14444,1.90966,0.74099,0.79582,0.85645,0.6699,1.69789,1.57129,1.96572,0.000603344,0.000603344,0.000603344
9,218.469,1.71117,1.88157,1.88693,0.71331,0.74909,0.80288,0.62722,1.73074,1.80563,1.96066,0.00060025,0.00060025,0.00060025
10,236.712,1.69402,1.79616,1.88838,0.79506,0.79377,0.85616,0.67805,1.71033,1.38157,1.97026,0.000597156,0.000597156,0.000597156
11,256.252,1.76785,1.83833,1.92799,0.79624,0.79003,0.87004,0.67252,1.8041,1.59854,2.01731,0.000594062,0.000594062,0.000594062
12,276.814,1.68568,1.74296,1.90277,0.81669,0.8304,0.90321,0.70506,1.73794,1.34494,1.98634,0.000590969,0.000590969,0.000590969
13,298.884,1.77753,1.61414,1.91521,0.82512,0.82908,0.88805,0.67623,1.87424,1.39463,2.05993,0.000587875,0.000587875,0.000587875
14,320.164,1.62034,1.53358,1.87658,0.86261,0.84647,0.92091,0.73587,1.69106,1.27986,1.96321,0.000584781,0.000584781,0.000584781
15,340.107,1.65678,1.53098,1.88997,0.85001,0.76254,0.88485,0.6989,1.69527,1.53216,1.94469,0.000581687,0.000581687,0.000581687
16,360.966,1.67207,1.49159,1.87621,0.84102,0.87572,0.93567,0.74718,1.65548,1.21349,1.93624,0.000578594,0.000578594,0.000578594
17,379.696,1.65083,1.38645,1.87726,0.89007,0.85838,0.92831,0.73802,1.70885,1.23376,1.96625,0.0005755,0.0005755,0.0005755
18,397.585,1.64944,1.43999,1.87248,0.89264,0.83608,0.93456,0.74054,1.67299,1.28225,1.95316,0.000572406,0.000572406,0.000572406
19,415.87,1.64554,1.39638,1.87096,0.90608,0.85596,0.94425,0.7567,1.67352,1.18447,1.95766,0.000569313,0.000569313,0.000569313
